id,answers,correct_answer,question,edition,json
016,"[""Love"",""Hope"",""Patience"",""Virtue""]",1,"According to Greek mythology, when Pandora's box was opened all of the miseries and misfortunes of man where released. What was the only thing left in the box?",Global,"{""id"":""016"",""question"":""According to Greek mythology, when Pandora's box was opened all of the miseries and misfortunes of man where released. What was the only thing left in the box?"",""correct_answer"":1,""answers"":[""Love"",""Hope"",""Patience"",""Virtue""],""edition"":""Global""}"
017,"[""Hephaestus"",""Apollo"",""Aries"",""Hermes""]",3,What Greek God was considered the dquotesHerald of the Gods?dquotes,Global,"{""id"":""017"",""question"":""What Greek God was considered the dquotesHerald of the Gods?dquotes"",""correct_answer"":3,""answers"":[""Hephaestus"",""Apollo"",""Aries"",""Hermes""],""edition"":""Global""}"
018,"[""Virgo & Gemini"",""Gemini & Leo"",""Aries & Capricorn"",""Leo & Virgo""]",0,"In modern Astrology, zodiac signs are ruled by planets. What two signs does Mercury rule?",Global,"{""id"":""018"",""question"":""In modern Astrology, zodiac signs are ruled by planets. What two signs does Mercury rule?"",""correct_answer"":0,""answers"":[""Virgo & Gemini"",""Gemini & Leo"",""Aries & Capricorn"",""Leo & Virgo""],""edition"":""Global""}"
019,"[""Libra"",""Taurus"",""Capricorn"",""Leo  ""]",1,The bull represents what zodiac sign?,Global,"{""id"":""019"",""question"":""The bull represents what zodiac sign?"",""correct_answer"":1,""answers"":[""Libra"",""Taurus"",""Capricorn"",""Leo  ""],""edition"":""Global""}"
020,"[""The Globe Theatre"",""The Sonnet Theatre"",""Shakespeare's Theatre"",""The Piccadilly Theatre""]",0,What was the name of William Shakespeare's theatre?,Global,"{""id"":""020"",""question"":""What was the name of William Shakespeare's theatre?"",""correct_answer"":0,""answers"":[""The Globe Theatre"",""The Sonnet Theatre"",""Shakespeare's Theatre"",""The Piccadilly Theatre""],""edition"":""Global""}"
021,"[""Ghostbusters costume"",""Michael Myers costume"",""An alien mask"",""No costume""]",1,What does Sadie Sink's character Max in dquotesStranger Thingsdquotes wear for Halloween?,Global,"{""id"":""021"",""question"":""What does Sadie Sink's character Max in dquotesStranger Thingsdquotes wear for Halloween?"",""correct_answer"":1,""answers"":[""Ghostbusters costume"",""Michael Myers costume"",""An alien mask"",""No costume""],""edition"":""Global""}"
022,"[""Huey Lewis and the News"",""Funkadelic"",""Ray Parker Jr."",""Eurythmics""]",2,Who wrote and performed the theme for the cult classic film dquotesGhostbusters?dquotes,Global,"{""id"":""022"",""question"":""Who wrote and performed the theme for the cult classic film dquotesGhostbusters?dquotes"",""correct_answer"":2,""answers"":[""Huey Lewis and the News"",""Funkadelic"",""Ray Parker Jr."",""Eurythmics""],""edition"":""Global""}"
023,"[""Taxi Driver"",""Tootsie"",""Escape from New York"",""Midnight Cowboy""]",3,In was film was the phrase dquotesI'm walking heredquotes ad libbed when the actor saying it was almost hit by a car?,Global,"{""id"":""023"",""question"":""In was film was the phrase dquotesI'm walking heredquotes ad libbed when the actor saying it was almost hit by a car?"",""correct_answer"":3,""answers"":[""Taxi Driver"",""Tootsie"",""Escape from New York"",""Midnight Cowboy""],""edition"":""Global""}"
024,"[""Delaware"",""Pennsylvania"",""Massachusetts"",""New Jersey""]",2,What was the first state to sign the Declaration of Independence?,All,"{""id"":""024"",""question"":""What was the first state to sign the Declaration of Independence?"",""correct_answer"":2,""answers"":[""Delaware"",""Pennsylvania"",""Massachusetts"",""New Jersey""],""edition"":""All""}"
025,"[""21st Amendment"",""18th Amendment"",""15th Amendment"",""19th Amendment""]",3,Women were granted the right to vote when what amendment was passed?,All,"{""id"":""025"",""question"":""Women were granted the right to vote when what amendment was passed?"",""correct_answer"":3,""answers"":[""21st Amendment"",""18th Amendment"",""15th Amendment"",""19th Amendment""],""edition"":""All""}"
026,"[""Theodore Roosevelt"",""Franklin Delano Roosevelt"",""Herbert Hoover"",""John F. Kennedy""]",1,What US President was famous for their dquotesFireside Chatsdquotes where they spoke to citizens over the radio to calm their nerves during crisis?,All,"{""id"":""026"",""question"":""What US President was famous for their dquotesFireside Chatsdquotes where they spoke to citizens over the radio to calm their nerves during crisis?"",""correct_answer"":1,""answers"":[""Theodore Roosevelt"",""Franklin Delano Roosevelt"",""Herbert Hoover"",""John F. Kennedy""],""edition"":""All""}"
027,"[""Ronald Reagan"",""Dwight D. Eisenhower"",""Richard Nixon"",""Bill Clinton""]",2,Who was the only president in US history to resign?,All,"{""id"":""027"",""question"":""Who was the only president in US history to resign?"",""correct_answer"":2,""answers"":[""Ronald Reagan"",""Dwight D. Eisenhower"",""Richard Nixon"",""Bill Clinton""],""edition"":""All""}"
028,"[""Hip to Be Square"",""Take On Me"",""Wake Me Up Before You Go-Go"",""Old Time Rock and Roll""]",3,What song did Tom Cruise's character lip sync in his underwear in the iconic dquotesRisky Businessdquotes scene?,Global,"{""id"":""028"",""question"":""What song did Tom Cruise's character lip sync in his underwear in the iconic dquotesRisky Businessdquotes scene?"",""correct_answer"":3,""answers"":[""Hip to Be Square"",""Take On Me"",""Wake Me Up Before You Go-Go"",""Old Time Rock and Roll""],""edition"":""Global""}"
029,"[""dquotesLa La Landdquotes"",""dquotesMoonlightdquotes"",""dquotesArrivaldquotes"",""dquotesManchester by the Seadquotes""]",0,What film was incorrectly called for the best picture winner during the 2017 Oscars?,Global,"{""id"":""029"",""question"":""What film was incorrectly called for the best picture winner during the 2017 Oscars?"",""correct_answer"":0,""answers"":[""dquotesLa La Landdquotes"",""dquotesMoonlightdquotes"",""dquotesArrivaldquotes"",""dquotesManchester by the Seadquotes""],""edition"":""Global""}"
030,"[""dquotesVertigodquotes"",""dquotesJamaica Planedquotes"",""dquotesRopedquotes"",""dquotesThe Birdsdquotes""]",2,What was the name of the Alfred Hitchcock movie filmed to look like one continuous shot?,Global,"{""id"":""030"",""question"":""What was the name of the Alfred Hitchcock movie filmed to look like one continuous shot?"",""correct_answer"":2,""answers"":[""dquotesVertigodquotes"",""dquotesJamaica Planedquotes"",""dquotesRopedquotes"",""dquotesThe Birdsdquotes""],""edition"":""Global""}"
031,"[""England"",""Morrocoys"",""Monaco"",""Norway""]",2,"Originally from Philadelphia, Grace Kelly married a prince and became the Princess of what country?",Global,"{""id"":""031"",""question"":""Originally from Philadelphia, Grace Kelly married a prince and became the Princess of what country?"",""correct_answer"":2,""answers"":[""England"",""Morrocoys"",""Monaco"",""Norway""],""edition"":""Global""}"
032,"[""dquotesCasablancadquotes"",""dquotesGone With the Winddquotes"",""dquotesAvatardquotes"",""dquotesTitanicdquotes""]",1,"Taking inflation into account, what is the highest grossing movie of all time?",Global,"{""id"":""032"",""question"":""Taking inflation into account, what is the highest grossing movie of all time?"",""correct_answer"":1,""answers"":[""dquotesCasablancadquotes"",""dquotesGone With the Winddquotes"",""dquotesAvatardquotes"",""dquotesTitanicdquotes""],""edition"":""Global""}"
033,"[""Jonesy"",""Pumpkin"",""Stevie"",""Tiger""]",0,What was the name of the orange cat kept on the ship in dquotesAlien?dquotes,Global,"{""id"":""033"",""question"":""What was the name of the orange cat kept on the ship in dquotesAlien?dquotes"",""correct_answer"":0,""answers"":[""Jonesy"",""Pumpkin"",""Stevie"",""Tiger""],""edition"":""Global""}"
034,"[""dquotesScreamdquotes"",""dquotesThe Babadookdquotes"",""dquotesThe Thingdquotes"",""dquotesAliendquotes""]",1,"What horror movie was accidentally tagged in the LGBTQ+ section of Netflix, unintentionally making the monster a LGBTQ+ icon?",Global,"{""id"":""034"",""question"":""What horror movie was accidentally tagged in the LGBTQ+ section of Netflix, unintentionally making the monster a LGBTQ+ icon?"",""correct_answer"":1,""answers"":[""dquotesScreamdquotes"",""dquotesThe Babadookdquotes"",""dquotesThe Thingdquotes"",""dquotesAliendquotes""],""edition"":""Global""}"
035,"[""Ctrl + c"",""Shift + c"",""Ctrl + v"",""Shift + v""]",0,What is the computer shorthand for copying text or an image?,Global,"{""id"":""035"",""question"":""What is the computer shorthand for copying text or an image?"",""correct_answer"":0,""answers"":[""Ctrl + c"",""Shift + c"",""Ctrl + v"",""Shift + v""],""edition"":""Global""}"
036,"[""Greta Thunberg"",""Marie Curie"",""Malala Yousafzai"",""Gertrude Elion""]",1,Who was the first woman to win a Nobel Prize?,Global,"{""id"":""036"",""question"":""Who was the first woman to win a Nobel Prize?"",""correct_answer"":1,""answers"":[""Greta Thunberg"",""Marie Curie"",""Malala Yousafzai"",""Gertrude Elion""],""edition"":""Global""}"
037,"[""Neptune"",""Venus"",""Saturn"",""Jupiter""]",2,What planet in our solar system has the most moons with 83 in total?,Global,"{""id"":""037"",""question"":""What planet in our solar system has the most moons with 83 in total?"",""correct_answer"":2,""answers"":[""Neptune"",""Venus"",""Saturn"",""Jupiter""],""edition"":""Global""}"
038,"[""Orange"",""Pink"",""Blue"",""Purple""]",2,What color is the sunset on Mars?,Global,"{""id"":""038"",""question"":""What color is the sunset on Mars?"",""correct_answer"":2,""answers"":[""Orange"",""Pink"",""Blue"",""Purple""],""edition"":""Global""}"
039,"[""Type A+"",""Type B"",""Type C"",""Type O""]",3,What blood type is known as dquotesuniversal donordquotes blood?,Global,"{""id"":""039"",""question"":""What blood type is known as dquotesuniversal donordquotes blood?"",""correct_answer"":3,""answers"":[""Type A+"",""Type B"",""Type C"",""Type O""],""edition"":""Global""}"
040,"[""Makalu"",""Mount Everest"",""Annapurna"",""Kamet""]",1,What is the tallest mountain on Earth?,Global,"{""id"":""040"",""question"":""What is the tallest mountain on Earth?"",""correct_answer"":1,""answers"":[""Makalu"",""Mount Everest"",""Annapurna"",""Kamet""],""edition"":""Global""}"
041,"[""Radiation"",""Pressure"",""Temperature"",""Density""]",0,What does the Geiger Counter measure?,Global,"{""id"":""041"",""question"":""What does the Geiger Counter measure?"",""correct_answer"":0,""answers"":[""Radiation"",""Pressure"",""Temperature"",""Density""],""edition"":""Global""}"
042,"[""Copernicus"",""Plato"",""Galileo"",""Aristotle""]",2,Who invented the telescope?,Global,"{""id"":""042"",""question"":""Who invented the telescope?"",""correct_answer"":2,""answers"":[""Copernicus"",""Plato"",""Galileo"",""Aristotle""],""edition"":""Global""}"
043,"[""12"",""8"",""9"",""7""]",3,How many Zodiac Signs are represented by animals?,Global,"{""id"":""043"",""question"":""How many Zodiac Signs are represented by animals?"",""correct_answer"":3,""answers"":[""12"",""8"",""9"",""7""],""edition"":""Global""}"
044,"[""dquotesSick Sad Worlddquotes"",""dquotesThe Young Onesdquotes"",""dquotesArmy of Aliensdquotes"",""dquotesUf-oh nodquotes""]",0,What is the name of the popular TV show on dquotesDariadquotes,Global,"{""id"":""044"",""question"":""What is the name of the popular TV show on dquotesDariadquotes"",""correct_answer"":0,""answers"":[""dquotesSick Sad Worlddquotes"",""dquotesThe Young Onesdquotes"",""dquotesArmy of Aliensdquotes"",""dquotesUf-oh nodquotes""],""edition"":""Global""}"
045,"[""dquotesCSI: Crime Scene Investigationdquotes"",""dquotesLaw and Order: SVUdquotes"",""dquotesGunsmokedquotes"",""dquotesNCISdquotes""]",1,What is the longest running live action primetime show?,All,"{""id"":""045"",""question"":""What is the longest running live action primetime show?"",""correct_answer"":1,""answers"":[""dquotesCSI: Crime Scene Investigationdquotes"",""dquotesLaw and Order: SVUdquotes"",""dquotesGunsmokedquotes"",""dquotesNCISdquotes""],""edition"":""All""}"
046,"[""dquotesGolden Girlsdquotes"",""dquotesFamily Guydquotes"",""dquotesThe Simpsonsdquotes"",""dquotesSpongeBob SquarePantsdquotes""]",2,What is the longest running show of all time?,All,"{""id"":""046"",""question"":""What is the longest running show of all time?"",""correct_answer"":2,""answers"":[""dquotesGolden Girlsdquotes"",""dquotesFamily Guydquotes"",""dquotesThe Simpsonsdquotes"",""dquotesSpongeBob SquarePantsdquotes""],""edition"":""All""}"
047,"[""Applebee's"",""The Cheesecake Factory"",""T.G.I Fridays"",""Hibachi""]",1,What restaurant is Penny a waitress for in dquotesThe Big Bang Theory?dquotes,Global,"{""id"":""047"",""question"":""What restaurant is Penny a waitress for in dquotesThe Big Bang Theory?dquotes"",""correct_answer"":1,""answers"":[""Applebee's"",""The Cheesecake Factory"",""T.G.I Fridays"",""Hibachi""],""edition"":""Global""}"
048,"[""Sherwood"",""Canterbury"",""Far Far Away"",""Duloc""]",3,What is the name of the city Lord Farquaad rules in dquotesShrek?dquotes,Global,"{""id"":""048"",""question"":""What is the name of the city Lord Farquaad rules in dquotesShrek?dquotes"",""correct_answer"":3,""answers"":[""Sherwood"",""Canterbury"",""Far Far Away"",""Duloc""],""edition"":""Global""}"
049,"[""Martha Stewart"",""Bill Murray"",""Dwayne dquotesThe Rockdquotes Johnson"",""Willie Nelson""]",1,What famous actor played himself in the first dquotesZombielanddquotes movie?,Global,"{""id"":""049"",""question"":""What famous actor played himself in the first dquotesZombielanddquotes movie?"",""correct_answer"":1,""answers"":[""Martha Stewart"",""Bill Murray"",""Dwayne dquotesThe Rockdquotes Johnson"",""Willie Nelson""],""edition"":""Global""}"
050,"[""75 meters"",""100 meters"",""50 meters"",""30 meters""]",2,How long is an Olympic swimming pool in meters?,Global,"{""id"":""050"",""question"":""How long is an Olympic swimming pool in meters?"",""correct_answer"":2,""answers"":[""75 meters"",""100 meters"",""50 meters"",""30 meters""],""edition"":""Global""}"
051,"[""Germany, Russia, Japan"",""Russia, Japan, Italy"",""Italy, France, Russia"",""Germany, Italy, Japan""]",3,In World War II the Axis powers were made up of what countries?,Global,"{""id"":""051"",""question"":""In World War II the Axis powers were made up of what countries?"",""correct_answer"":3,""answers"":[""Germany, Russia, Japan"",""Russia, Japan, Italy"",""Italy, France, Russia"",""Germany, Italy, Japan""],""edition"":""Global""}"
052,"[""Atlantic"",""Pacific"",""Arctic"",""Indian""]",1,What is the largest ocean on Earth?,Global,"{""id"":""052"",""question"":""What is the largest ocean on Earth?"",""correct_answer"":1,""answers"":[""Atlantic"",""Pacific"",""Arctic"",""Indian""],""edition"":""Global""}"
053,"[""Coffee"",""Coca-Cola"",""Tea"",""Lemonade""]",2,What is the most consumed manufactured drink in the world?,Global,"{""id"":""053"",""question"":""What is the most consumed manufactured drink in the world?"",""correct_answer"":2,""answers"":[""Coffee"",""Coca-Cola"",""Tea"",""Lemonade""],""edition"":""Global""}"
054,"[""Mr. Potato Head Doll"",""Barbie Doll"",""GI Joe"",""Jack in the Box""]",0,What was the first toy to be advertised on television?,All,"{""id"":""054"",""question"":""What was the first toy to be advertised on television?"",""correct_answer"":0,""answers"":[""Mr. Potato Head Doll"",""Barbie Doll"",""GI Joe"",""Jack in the Box""],""edition"":""All""}"
055,"[""dquotesM.A.S.Hdquotes"",""dquotesStar Trekdquotes"",""dquotesFull Housedquotes"",""dquotesFamily Mattersdquotes""]",1,What TV show aired the first interracial kiss?,All,"{""id"":""055"",""question"":""What TV show aired the first interracial kiss?"",""correct_answer"":1,""answers"":[""dquotesM.A.S.Hdquotes"",""dquotesStar Trekdquotes"",""dquotesFull Housedquotes"",""dquotesFamily Mattersdquotes""],""edition"":""All""}"
056,"[""Tennis"",""Water Polo"",""Football (American)"",""Soccer""]",3,What sport is known as dquotesThe King of Sports?dquotes,Global,"{""id"":""056"",""question"":""What sport is known as dquotesThe King of Sports?dquotes"",""correct_answer"":3,""answers"":[""Tennis"",""Water Polo"",""Football (American)"",""Soccer""],""edition"":""Global""}"
057,"[""Russia"",""Asia"",""North America"",""Africa""]",1,What is the largest continent on Earth?,Global,"{""id"":""057"",""question"":""What is the largest continent on Earth?"",""correct_answer"":1,""answers"":[""Russia"",""Asia"",""North America"",""Africa""],""edition"":""Global""}"
058,"[""Arizona"",""Utah"",""New Mexico"",""Texas""]",2,"Famous for the alleged UFO crash, Roswell is a city in what US state?",All,"{""id"":""058"",""question"":""Famous for the alleged UFO crash, Roswell is a city in what US state?"",""correct_answer"":2,""answers"":[""Arizona"",""Utah"",""New Mexico"",""Texas""],""edition"":""All""}"
059,"[""Stallion"",""Cow"",""Unicorn"",""Pig""]",2,What is the national animal of Scotland?,Global,"{""id"":""059"",""question"":""What is the national animal of Scotland?"",""correct_answer"":2,""answers"":[""Stallion"",""Cow"",""Unicorn"",""Pig""],""edition"":""Global""}"
060,"[""Mars"",""Mercury"",""Neptune"",""Venus""]",3,What is the hottest planet in our solar system?,Global,"{""id"":""060"",""question"":""What is the hottest planet in our solar system?"",""correct_answer"":3,""answers"":[""Mars"",""Mercury"",""Neptune"",""Venus""],""edition"":""Global""}"
061,"[""Georgia"",""Florida"",""Alabama"",""Mississippi""]",0,In what US state is it illegal to eat fried chicken with a fork?,All,"{""id"":""061"",""question"":""In what US state is it illegal to eat fried chicken with a fork?"",""correct_answer"":0,""answers"":[""Georgia"",""Florida"",""Alabama"",""Mississippi""],""edition"":""All""}"
062,"[""New Mexico"",""Nevada"",""Utah"",""Arizona""]",1,Area 51 is located in what US state?,All,"{""id"":""062"",""question"":""Area 51 is located in what US state?"",""correct_answer"":1,""answers"":[""New Mexico"",""Nevada"",""Utah"",""Arizona""],""edition"":""All""}"
063,"[""Iceland"",""Ireland"",""Sweden"",""Netherlands""]",0,What country diverts roads to make sure elves are undisturbed?,Global,"{""id"":""063"",""question"":""What country diverts roads to make sure elves are undisturbed?"",""correct_answer"":0,""answers"":[""Iceland"",""Ireland"",""Sweden"",""Netherlands""],""edition"":""Global""}"
064,"[""Da Vinci"",""Michelangelo"",""Donatello"",""Raphael""]",1,Who painted the ceiling of the Sistine Chapel?,Global,"{""id"":""064"",""question"":""Who painted the ceiling of the Sistine Chapel?"",""correct_answer"":1,""answers"":[""Da Vinci"",""Michelangelo"",""Donatello"",""Raphael""],""edition"":""Global""}"
065,"[""Wheatfield with Crows"",""Irises"",""Tree Roots"",""Self Portrait""]",2,What was Vincent van Gogh's final painting?,Global,"{""id"":""065"",""question"":""What was Vincent van Gogh's final painting?"",""correct_answer"":2,""answers"":[""Wheatfield with Crows"",""Irises"",""Tree Roots"",""Self Portrait""],""edition"":""Global""}"
066,"[""Gritty"",""Benny the Bull"",""Otto the Orange"",""Jazz Bear""]",0,Who is the mascot of the Philadelphia Flyers?,All,"{""id"":""066"",""question"":""Who is the mascot of the Philadelphia Flyers?"",""correct_answer"":0,""answers"":[""Gritty"",""Benny the Bull"",""Otto the Orange"",""Jazz Bear""],""edition"":""All""}"
067,"[""Golf"",""Tennis"",""Soccer"",""Bowling""]",1,dquotesLovedquotes is a score in what sport?,Global,"{""id"":""067"",""question"":""dquotesLovedquotes is a score in what sport?"",""correct_answer"":1,""answers"":[""Golf"",""Tennis"",""Soccer"",""Bowling""],""edition"":""Global""}"
068,"[""1924"",""1932"",""1900"",""1950""]",2,What year were women first allowed to participate in the Olympics?,Global,"{""id"":""068"",""question"":""What year were women first allowed to participate in the Olympics?"",""correct_answer"":2,""answers"":[""1924"",""1932"",""1900"",""1950""],""edition"":""Global""}"
069,"[""Badminton"",""Golf"",""Basketball"",""Flag Football""]",1,What was the first and only sport played on the moon?,Global,"{""id"":""069"",""question"":""What was the first and only sport played on the moon?"",""correct_answer"":1,""answers"":[""Badminton"",""Golf"",""Basketball"",""Flag Football""],""edition"":""Global""}"
070,"[""The Springfield Isotopes"",""The Springfield Clowns"",""The Springfield Neutrons"",""The Springfield Experience""]",0,What is the name of the fictional baseball team in dquotesThe Simpsons?dquotes,Global,"{""id"":""070"",""question"":""What is the name of the fictional baseball team in dquotesThe Simpsons?dquotes"",""correct_answer"":0,""answers"":[""The Springfield Isotopes"",""The Springfield Clowns"",""The Springfield Neutrons"",""The Springfield Experience""],""edition"":""Global""}"
071,"[""1990"",""1985"",""1987"",""1995""]",1,What year was the WWE's first WrestleMania?,Global,"{""id"":""071"",""question"":""What year was the WWE's first WrestleMania?"",""correct_answer"":1,""answers"":[""1990"",""1985"",""1987"",""1995""],""edition"":""Global""}"
072,"[""WCW (World Championship Wrestling)"",""ECW (Extreme Championship Wrestling)"",""WWF (World Wrestling Federation)"",""It has always been WWE""]",2,"Before they rebranded as WWE (World Wrestling Entertainment), what name did WWE go by?",Global,"{""id"":""072"",""question"":""Before they rebranded as WWE (World Wrestling Entertainment), what name did WWE go by?"",""correct_answer"":2,""answers"":[""WCW (World Championship Wrestling)"",""ECW (Extreme Championship Wrestling)"",""WWF (World Wrestling Federation)"",""It has always been WWE""],""edition"":""Global""}"
073,"[""dquotesTake On Medquotes by A-ha"",""dquotesVideo Killed the Radio Stardquotes by the Buggles"",""dquotesBohemian Rhapsodydquotes by Queen"",""dquotesStairway to Heavendquotes by Led Zeppelin""]",1,What was the first music video to appear on MTV?,All,"{""id"":""073"",""question"":""What was the first music video to appear on MTV?"",""correct_answer"":1,""answers"":[""dquotesTake On Medquotes by A-ha"",""dquotesVideo Killed the Radio Stardquotes by the Buggles"",""dquotesBohemian Rhapsodydquotes by Queen"",""dquotesStairway to Heavendquotes by Led Zeppelin""],""edition"":""All""}"
074,"[""Duran Duran"",""AC/DC"",""The Zombies"",""Captain Beefheart and His Magic Band""]",0,The movie dquotesBarbarelladquotes inspired the name of what music group?,Global,"{""id"":""074"",""question"":""The movie dquotesBarbarelladquotes inspired the name of what music group?"",""correct_answer"":0,""answers"":[""Duran Duran"",""AC/DC"",""The Zombies"",""Captain Beefheart and His Magic Band""],""edition"":""Global""}"
075,"[""Spice Girls"",""Spice World"",""Spice"",""Baby Spice""]",2,What was the name of The Spice Girls debut album?,Global,"{""id"":""075"",""question"":""What was the name of The Spice Girls debut album?"",""correct_answer"":2,""answers"":[""Spice Girls"",""Spice World"",""Spice"",""Baby Spice""],""edition"":""Global""}"
076,"[""That's great it starts with an earthquake"",""The latter starts to clatter"",""Birthday party, cheesecake, jellybean, boom"",""Richard Nixon back again""]",3,Which of these is not a lyric of dquotesIt's the End of the World as We Know Itdquotes by REM?,Global,"{""id"":""076"",""question"":""Which of these is not a lyric of dquotesIt's the End of the World as We Know Itdquotes by REM?"",""correct_answer"":3,""answers"":[""That's great it starts with an earthquake"",""The latter starts to clatter"",""Birthday party, cheesecake, jellybean, boom"",""Richard Nixon back again""],""edition"":""Global""}"
077,"[""The Eagles"",""Led Zeppelin"",""Black Sabbath"",""Styx""]",1,The New Yardbirds was the original name for what popular band?,Global,"{""id"":""077"",""question"":""The New Yardbirds was the original name for what popular band?"",""correct_answer"":1,""answers"":[""The Eagles"",""Led Zeppelin"",""Black Sabbath"",""Styx""],""edition"":""Global""}"
